2012/11/08 15:29:15 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_GB 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: Loading user properties from: C:\NIV\secure_subversion\Utilities\jmeter\bin\user.properties 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: Loading system properties from: C:\NIV\secure_subversion\Utilities\jmeter\bin\system.properties 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: Copyright (c) 1998-2012 The Apache Software Foundation 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: Version 2.8 r1393162 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: java.version=1.7.0_07 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Client VM 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: os.name=Windows 7 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: os.arch=x86 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: os.version=6.1 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: Default Locale=English (United Kingdom) 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: JMeter  Locale=English (United Kingdom) 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: JMeterHome=C:\NIV\secure_subversion\Utilities\jmeter 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: user.dir  =C:\NIV\secure_subversion\Utilities\jmeter\bin 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: PWD       =C:\NIV\secure_subversion\Utilities\jmeter\bin 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: IP: 10.4.177.75 Name: NIV FullName: NIV.smals-mvm.be 
2012/11/08 15:29:16 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2012/11/08 15:29:18 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2012/11/08 15:29:18 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2012/11/08 15:29:18 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2012/11/08 15:29:19 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2012/11/08 15:29:20 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2012/11/08 15:29:20 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2012/11/08 15:29:20 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2012/11/08 15:29:20 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2012/11/08 15:29:20 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2012/11/08 15:29:20 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2012/11/08 15:29:20 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2012/11/08 15:29:20 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2012/11/08 15:29:22 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2012/11/08 15:29:22 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2012/11/08 15:29:22 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2012/11/08 15:29:22 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2012/11/08 15:30:33 INFO  - jmeter.services.FileServer: Default base='C:\NIV\secure_subversion\Utilities\jmeter\bin' 
2012/11/08 15:32:15 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
